HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
57.925,59.2727,17.9496,0.0242,30.8922,64.1692,1.947,55.0063,55.0
5.45,60.3708,17.9659,0.0245,27.8099,65.9514,1.931,54.1062,55.0
0.0,59.1827,17.7632,0.0248,29.2137,64.6733,1.951,54.8263,55.0
75.725,59.1827,17.4651,0.0254,27.4437,65.4653,1.8707,54.8263,55.0
0.0,59.1827,17.4651,0.0246,28.0235,65.4653,1.951,54.8263,55.0
74.29,59.1827,17.152,0.0228,28.0235,64.5653,1.9109,54.8263,55.0
16.29,60.0108,17.2772,0.0237,26.3756,65.3213,1.939,55.5464,55.0
46.29,59.0027,17.2042,0.0249,27.6573,64.3132,1.943,55.5464,55.0
58.315,60.0108,17.2042,0.0258,25.6126,65.5914,1.8988,54.9163,55.0
0.95,60.0108,17.2042,0.0251,26.8028,64.7993,1.951,54.9163,55.0
81.995,59.0927,17.2544,0.0245,26.8028,64.7993,1.9149,54.9163,55.0
0.0,60.2808,16.985,0.0251,24.514,65.6634,1.943,54.9163,55.0
12.35,59.1827,16.985,0.0251,25.6737,64.4032,1.955,54.9163,55.0
73.605,60.1008,16.912,0.0248,24.0867,65.5554,1.8828,54.9163,55.0
0.0,60.1008,17.0323,0.0233,24.0867,65.5554,1.951,54.9163,55.0
59.375,59.0927,16.9434,0.0225,24.6666,64.2052,1.951,54.9163,55.0
0.0,60.4608,17.0617,0.0237,21.981,65.8254,1.931,54.9163,55.0
3.27,59.3627,16.8842,0.0233,23.5985,64.4753,1.955,54.9163,55.0
87.23,59.3627,16.8842,0.0228,22.6219,65.3933,1.8747,54.9163,55.0
0.0,60.0108,16.8102,0.0239,22.6219,65.3933,1.943,54.9163,55.0
54.95,59.1827,16.8102,0.0249,23.4764,64.2772,1.951,55.6364,55.0
0.0,60.8209,16.6621,0.0246,20.6078,65.9514,1.9229,55.0063,55.0
1.41,59.2727,16.7198,0.0233,22.9271,64.5653,1.955,55.0063,55.0
81.055,59.2727,16.9505,0.0239,21.3707,65.4293,1.8868,55.0063,55.0
0.0,59.2727,16.8351,0.0246,21.3707,65.4293,1.943,54.3762,55.0
39.21,59.2727,16.9505,0.0249,21.7674,64.3132,1.951,54.3762,55.0
30.735,60.2808,16.874,0.0254,19.6922,65.7894,1.8908,54.3762,55.0
1.345,59.2727,16.8351,0.0254,21.1571,64.6373,1.951,55.2763,55.0
81.605,59.2727,16.7198,0.0254,20.6383,64.6373,1.8828,55.2763,55.0
0.0,59.2727,16.8351,0.0254,21.4012,64.6373,1.951,55.2763,55.0
67.645,59.2727,16.7596,0.0251,22.3167,64.6373,1.943,54.5563,55.0
0.0,60.2808,16.4962,0.0239,20.3941,65.5914,1.9269,56.0144,55.0
22.445,59.0927,16.4962,0.0229,22.1947,64.4032,1.951,54.6463,55.0
55.24,60.2808,16.4962,0.0245,18.4715,65.9154,1.8587,55.3663,55.0
0.0,59.5608,16.366,0.0231,18.8377,64.7993,1.947,55.3663,55.0
79.225,59.5608,16.44,0.0251,18.8377,64.7993,1.8868,55.3663,55.0
0.0,59.5608,16.4217,0.0251,17.6781,64.7993,1.935,55.3663,55.0
61.42,58.9127,16.366,0.0248,18.7767,64.7993,1.943,55.3663,55.0
8.785,60.1908,16.44,0.0255,16.8541,65.7534,1.9229,55.3663,55.0
19.4,59.0027,16.44,0.0251,18.38,64.3672,1.947,55.3663,55.0
54.19,59.9208,16.3276,0.026,16.0912,65.9154,1.8627,55.3663,55.0
0.0,59.2727,16.0711,0.0257,17.0677,64.7093,1.947,54.5563,55.0
91.885,59.2727,15.8646,0.0237,16.2132,64.7093,1.8828,54.5563,55.0
0.0,59.2727,15.9904,0.0243,16.4269,64.7093,1.935,55.3663,55.0
59.09,59.2727,15.9904,0.0243,17.3424,64.7093,1.939,55.3663,55.0
18.045,60.3708,16.1028,0.0252,15.725,65.9154,1.8747,54.6463,55.0
8.545,58.9127,15.9904,0.0252,17.3729,64.4753,1.951,54.6463,55.0
62.155,59.5608,15.8218,0.026,15.5724,65.9514,1.8667,54.6463,55.0
0.0,59.5608,16.0038,0.026,16.8541,64.7993,1.947,55.5464,55.0
85.25,58.7327,15.9342,0.0254,17.3119,64.7993,1.8828,54.7363,55.0
