HeatOutputPercent,MixedAirTemp,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceCoolingSetpointActive,SpaceHeatingSetpointActive,SpaceTemp,SpaceTempSetpointActive,SupplyAirTemp
0.0,70.5059,0.0,18.0082,74.6479,71.6479,74.8443,74.6479,68.7597
0.0,70.5059,0.0,17.9248,74.6479,71.6479,74.8443,74.6479,75.0063
0.0,70.5059,0.0,18.0082,74.6479,71.6479,75.6004,74.6479,71.3339
0.0,68.7597,0.0,18.1149,74.6479,71.6479,73.8902,74.6479,73.1701
0.0,69.8578,0.0,17.9127,74.6479,71.6479,73.8902,74.6479,74.6283
0.0,69.8578,0.0,17.9553,74.6479,71.6479,75.1683,74.6479,74.6283
0.0,69.8578,0.0,18.1585,74.6479,71.6479,75.1683,74.6479,74.6283
0.0,69.8578,0.0,18.2404,74.6479,71.6479,74.4122,74.6479,68.0396
0.0,69.8578,0.0,18.2404,74.6479,71.6479,74.4122,74.6479,73.0801
0.0,69.8578,0.0,18.0738,74.6479,71.6479,73.5662,74.6479,73.0801
0.0,69.8578,0.0,17.9496,74.6479,71.6479,73.5662,74.6479,73.0801
0.0,69.8578,0.0,17.9659,74.6479,71.6479,73.5662,74.6479,73.0801
0.0,68.7597,0.0,17.7632,74.6479,71.6479,73.5662,74.6479,73.0801
0.0,68.7597,0.0,17.4651,74.6479,71.6479,73.5662,74.6479,73.0801
0.0,68.7597,0.0,17.4651,74.6479,71.6479,73.5662,74.6479,73.0801
0.0,68.7597,0.0,17.152,74.6479,71.6479,73.5662,74.6479,73.0801
0.0,68.7597,0.0,17.2772,74.6479,71.6479,72.7381,74.6479,72.342
0.0,68.7597,0.0,17.2042,74.6479,71.6479,72.7381,74.6479,72.342
0.0,68.7597,0.0,17.2042,74.6479,71.6479,72.7381,74.6479,72.342
0.0,68.0396,0.0,17.2042,74.6479,71.6479,72.7381,74.6479,72.342
0.0,68.0396,0.0,17.2544,74.6479,71.6479,72.7381,74.6479,72.342
0.0,68.0396,0.0,16.985,74.6479,71.6479,72.7381,74.6479,72.342
0.0,68.0396,0.0,16.985,74.6479,71.6479,72.7381,74.6479,72.342
0.0,68.0396,0.0,16.912,74.6479,71.6479,72.7381,74.6479,72.342
0.0,68.0396,0.0,17.0323,74.6479,71.6479,72.7381,74.6479,72.342
0.0,68.0396,0.0,16.9434,74.6479,71.6479,72.7381,74.6479,72.342
0.0,68.0396,0.0,17.0617,74.6479,71.6479,72.7381,74.6479,71.514
0.0,68.0396,0.0,16.8842,74.6479,71.6479,72.7381,74.6479,71.514
0.0,68.0396,0.0,16.8842,74.6479,71.6479,72.7381,74.6479,71.514
0.0,68.0396,0.0,16.8102,74.6479,71.6479,71.892,74.6479,71.514
0.0,68.0396,0.0,16.8102,74.6479,71.6479,71.892,74.6479,71.514
0.0,68.0396,0.0,16.6621,74.6479,71.6479,71.892,74.6479,71.514
0.0,68.0396,0.0,16.7198,74.6479,71.6479,71.892,74.6479,71.514
0.0,67.3015,0.0,16.9505,74.6479,71.6479,71.892,74.6479,71.514
0.0,68.0396,0.0,16.8351,74.6479,71.6479,71.892,74.6479,71.514
0.0,68.0396,0.0,16.9505,74.6479,71.6479,71.892,74.6479,71.514
0.0,68.0396,0.0,16.874,74.6479,71.6479,71.892,74.6479,71.514
0.0,68.0396,0.0,16.8351,74.6479,71.6479,71.892,74.6479,71.514
0.0,67.3015,0.0,16.7198,74.6479,71.6479,71.892,74.6479,71.514
0.0,67.3015,0.0,16.8351,74.6479,71.6479,71.892,74.6479,71.514
0.0,67.3015,0.0,16.7596,74.6479,71.6479,71.892,74.6479,71.514
0.0,67.3015,0.0,16.4962,74.6479,71.6479,71.892,74.6479,71.514
0.0,67.3015,0.0,16.4962,74.6479,71.6479,71.892,74.6479,71.514
0.0,67.3015,0.0,16.4962,74.6479,71.6479,71.892,74.6479,71.514
0.0,67.3015,0.0,16.366,74.6479,71.6479,71.892,74.6479,70.7759
0.0,67.3015,0.0,16.44,74.6479,71.6479,71.892,74.6479,70.7759
0.0,67.3015,0.0,16.4217,74.6479,71.6479,71.892,74.6479,70.7759
0.0,67.3015,0.0,16.366,74.6479,71.6479,71.892,74.6479,70.7759
0.0,67.3015,0.0,16.44,74.6479,71.6479,71.892,74.6479,70.7759
12.54,67.3015,0.0,16.44,74.6479,71.6479,71.892,74.6479,70.7759
12.54,67.3015,0.0,16.3276,74.6479,71.6479,71.892,74.6479,70.7759
12.54,67.3015,0.0,16.0711,74.6479,71.6479,71.892,74.6479,70.7759
12.54,66.5635,0.0,15.8646,74.6479,71.6479,71.892,74.6479,70.7759
22.39,66.5635,0.0,15.9904,74.6479,71.6479,70.9919,74.6479,70.7759
42.24,66.5635,0.0,15.9904,74.6479,71.6479,70.9919,74.6479,70.7759
62.96,66.5635,0.0,16.1028,74.6479,71.6479,70.9919,74.6479,70.7759
62.96,67.3915,0.0,15.9904,74.6479,71.6479,70.9919,74.6479,70.7759
55.82,67.3915,0.0,15.8218,74.6479,71.6479,72.018,74.6479,71.604
40.84,67.3915,0.0,16.0038,74.6479,71.6479,72.018,74.6479,71.604
0.0,67.3915,0.0,15.9342,74.6479,71.6479,72.7741,74.6479,71.604
0.0,69.5878,0.0,15.9342,75.9789,72.9789,75.9964,75.9789,73.5302
0.0,70.6859,0.0,16.0038,75.9789,72.9789,77.9946,75.9789,73.5302
0.0,69.4978,0.0,16.0038,75.9789,72.9789,75.9604,75.9789,73.5302
0.0,69.4978,0.0,15.8904,75.9789,72.9789,74.6823,75.9789,58.9127
0.0,70.5959,0.0,15.8904,75.9789,72.9789,77.4005,75.9789,72.432
0.0,68.0396,0.0,15.8904,75.9789,72.9789,73.9622,75.9789,64.0072
0.0,70.6859,0.0,15.9342,75.9789,72.9789,77.4365,75.9789,73.5302
0.0,69.1377,0.0,15.8218,75.9789,72.9789,74.5563,75.9789,72.6121
0.0,69.1377,0.0,15.6417,75.9789,72.9789,74.5563,75.9789,61.4689
0.0,71.4239,0.0,15.7532,75.9789,72.9789,77.8506,75.9789,68.3096
0.0,69.8578,0.0,15.8646,75.9789,72.9789,75.4743,75.9789,73.8902
0.0,69.8578,0.0,16.0317,75.9789,72.9789,74.6823,75.9789,61.0909
0.0,71.694,0.0,16.1431,75.9789,72.9789,77.2385,75.9789,76.1944
0.0,69.0477,0.0,16.2919,75.9789,72.9789,73.6922,75.9789,68.7597
0.0,70.6859,0.0,16.1439,75.9789,72.9789,76.1224,75.9789,60.7309
0.0,70.6859,0.0,16.2726,75.9789,72.9789,76.1224,75.9789,75.2763
0.0,68.3996,0.0,16.3821,75.9789,72.9789,74.2862,75.9789,61.649
0.0,70.6859,0.0,16.6009,75.9789,72.9789,77.4005,75.9789,75.4563
0.0,69.0477,0.0,16.7946,75.9789,72.9789,74.7183,75.9789,68.7597
0.0,70.2358,0.0,16.7946,75.9789,72.9789,75.7984,75.9789,61.3789
0.0,70.2358,0.0,16.7147,75.9789,72.9789,75.7984,75.9789,74.7183
0.0,70.2358,0.0,16.8477,75.9789,72.9789,75.7984,75.9789,62.009
0.0,70.2358,0.0,16.9542,75.9789,72.9789,75.7984,75.9789,75.0063
0.0,69.1377,0.0,17.0295,75.9789,72.9789,74.3582,75.9789,63.3771
0.0,70.9559,0.0,17.135,75.9789,72.9789,77.0765,75.9789,69.4077
0.0,69.2277,0.0,17.135,75.9789,72.9789,75.1143,75.9789,72.9721
0.0,71.2439,0.0,17.2405,75.9789,72.9789,76.8065,75.9789,67.7516
0.0,69.6778,0.0,17.3988,75.9789,72.9789,75.4743,75.9789,74.1782
0.0,70.9559,0.0,17.3109,75.9789,72.9789,75.4743,75.9789,64.3852
0.0,70.9559,0.0,17.4155,75.9789,72.9789,75.4743,75.9789,75.4563
0.0,69.3177,0.0,17.52,75.9789,72.9789,74.6103,75.9789,63.0171
0.0,70.8659,0.0,17.729,75.9789,72.9789,76.2844,75.9789,75.7264
0.0,69.4978,0.0,17.7813,75.9789,72.9789,75.0063,75.9789,66.5635
0.0,70.6859,0.0,17.689,75.9789,72.9789,76.7525,75.9789,75.0063
0.0,69.0477,0.0,17.6992,75.9789,72.9789,74.6463,75.9789,68.4897
0.0,70.9559,0.0,17.8735,75.9789,72.9789,76.4464,75.9789,75.7264
0.0,69.2277,0.0,18.0581,75.9789,72.9789,74.8083,75.9789,64.8353
0.0,70.8659,0.0,18.4615,75.9789,72.9789,76.8785,75.9789,74.7183
0.0,68.7597,0.0,18.4272,75.9789,72.9789,74.8443,75.9789,68.7597
0.0,69.9478,0.0,18.2195,75.9789,72.9789,75.9244,75.9789,62.5491
0.0,69.9478,0.0,18.0741,75.9789,72.9789,75.9244,75.9789,74.3582
0.0,70.9559,0.0,18.1149,75.9789,72.9789,76.7165,75.9789,76.1944
0.0,69.1377,0.0,18.0765,75.9789,72.9789,74.2142,75.9789,72.8821
0.0,70.6859,0.0,18.1171,75.9789,72.9789,75.2763,75.9789,74.1782
0.0,70.6859,0.0,18.0738,75.9789,72.9789,75.2763,75.9789,74.1782
0.0,70.6859,0.0,17.9496,75.9789,72.9789,75.2763,75.9789,74.1782
0.0,70.6859,0.0,17.9496,75.9789,72.9789,75.2763,75.9789,74.1782
0.0,69.7678,0.0,18.3223,75.9789,72.9789,75.2763,75.9789,74.1782
0.0,69.7678,0.0,18.3223,75.9789,72.9789,74.5203,75.9789,73.2601
0.0,69.7678,0.0,18.2807,75.9789,72.9789,74.5203,75.9789,73.2601
0.0,69.7678,0.0,18.2807,75.9789,72.9789,74.5203,75.9789,73.2601
0.0,69.7678,0.0,18.2807,75.9789,72.9789,73.6922,75.9789,73.2601
0.0,68.9577,0.0,18.3418,75.9789,72.9789,73.6922,75.9789,73.2601
0.0,68.9577,0.0,18.2953,75.9789,72.9789,73.6922,75.9789,73.2601
0.0,68.9577,0.0,18.4156,75.9789,72.9789,73.6922,75.9789,72.5221
0.0,68.9577,0.0,18.2953,75.9789,72.9789,73.6922,75.9789,72.5221
0.0,68.9577,0.0,18.2109,75.9789,72.9789,72.7381,75.9789,72.5221
0.0,68.9577,0.0,18.1266,75.9789,72.9789,72.7381,75.9789,72.5221
0.0,68.9577,0.0,18.1266,75.9789,72.9789,72.7381,75.9789,72.5221
0.0,68.9577,0.0,18.1595,75.9789,72.9789,72.7381,75.9789,72.5221
0.0,68.9577,0.0,18.1595,75.9789,72.9789,72.7381,75.9789,72.5221
0.0,68.2196,0.0,17.9248,75.9789,72.9789,72.7381,75.9789,72.5221
2.04,68.2196,0.0,18.0082,75.9789,72.9789,72.7381,75.9789,71.784
3.65,68.2196,0.0,18.0916,75.9789,72.9789,72.7381,75.9789,71.784
29.95,68.2196,0.0,17.9248,75.9789,72.9789,72.7381,75.9789,71.784
42.885,68.2196,0.0,18.2195,75.9789,72.9789,71.982,75.9789,71.784
64.405,68.2196,0.0,18.1321,75.9789,72.9789,71.982,75.9789,71.784
64.405,68.2196,0.0,18.1893,75.9789,72.9789,72.7021,75.9789,71.784
64.405,68.2196,0.0,18.1893,75.9789,72.9789,72.7021,75.9789,71.784
53.66,68.2196,0.0,18.2195,75.9789,72.9789,72.7021,75.9789,71.784
38.84,68.2196,0.0,18.1321,75.9789,72.9789,72.7021,75.9789,71.784
38.84,68.2196,0.0,17.9574,75.9789,72.9789,72.7021,75.9789,71.784
38.84,68.2196,0.0,17.845,75.9789,72.9789,72.7021,75.9789,71.784
42.68,68.2196,0.0,17.845,75.9789,72.9789,72.7021,75.9789,71.784
47.895,68.2196,0.0,17.845,75.9789,72.9789,72.7021,75.9789,71.784
69.095,68.2196,0.0,17.9314,75.9789,72.9789,72.7021,75.9789,71.784
53.1,68.2196,0.0,17.818,75.9789,72.9789,72.7021,75.9789,72.6121
53.1,68.2196,0.0,17.6202,75.9789,72.9789,72.7021,75.9789,72.6121
53.1,68.2196,0.0,17.7326,75.9789,72.9789,72.7021,75.9789,72.6121
53.1,68.2196,0.0,17.6202,75.9789,72.9789,72.7021,75.9789,72.6121
53.1,68.2196,0.0,17.7326,75.9789,72.9789,72.7021,75.9789,72.6121
53.1,68.2196,0.0,17.5912,75.9789,72.9789,72.7021,75.9789,72.6121
52.455,68.2196,0.0,17.7326,75.9789,72.9789,72.7021,75.9789,72.6121
52.455,68.2196,0.0,17.7326,75.9789,72.9789,72.7021,75.9789,72.6121
52.455,68.2196,0.0,17.7326,75.9789,72.9789,72.7021,75.9789,72.6121
52.455,68.2196,0.0,17.7326,75.9789,72.9789,72.7021,75.9789,72.6121
35.525,69.2277,0.0,17.6202,75.9789,72.9789,72.7021,75.9789,72.6121
23.215,69.2277,0.0,17.5345,75.9789,72.9789,72.7021,75.9789,72.6121
23.215,68.3996,0.0,17.6174,75.9789,72.9789,72.7021,75.9789,72.6121
23.215,68.3996,0.0,17.585,75.9789,72.9789,72.7021,75.9789,71.784
23.215,68.3996,0.0,17.4696,75.9789,72.9789,72.7021,75.9789,71.784
37.515,67.6616,0.0,17.5506,75.9789,72.9789,71.892,75.9789,71.784
61.865,67.6616,0.0,17.4342,75.9789,72.9789,71.892,75.9789,71.784
61.865,67.6616,0.0,17.585,75.9789,72.9789,71.892,75.9789,71.784
61.865,68.3996,0.0,17.5506,75.9789,72.9789,71.892,75.9789,71.784
60.085,68.3996,0.0,17.5506,75.9789,72.9789,73.0981,75.9789,71.784
19.54,68.3996,0.0,17.6315,75.9789,72.9789,73.0981,75.9789,72.6121
0.0,69.2277,0.0,17.6315,75.9789,72.9789,74.4482,75.9789,72.6121
0.0,69.2277,0.0,17.5941,75.9789,72.9789,75.9244,75.9789,73.5302
0.0,70.5059,0.0,17.4951,75.9789,72.9789,75.9244,75.9789,74.3582
0.0,68.5797,0.0,17.5548,75.9789,72.9789,74.5203,75.9789,60.6409
0.0,69.4978,0.0,17.6741,75.9789,72.9789,75.4743,75.9789,73.5302
0.0,69.4978,0.0,17.5941,75.9789,72.9789,75.4743,75.9789,73.5302
0.0,70.6859,0.0,17.5941,75.9789,72.9789,76.8425,75.9789,75.0963
0.0,69.4978,0.0,17.6315,75.9789,72.9789,75.1683,75.9789,73.6202
0.0,71.0639,0.0,17.7124,75.9789,72.9789,76.5545,75.9789,75.4563
0.0,68.6697,0.0,18.1149,75.9789,72.9789,74.6823,75.9789,68.3096
0.0,70.3258,0.0,18.2449,75.9789,72.9789,76.3204,75.9789,65.5734
0.0,69.3177,0.0,18.4815,75.9789,72.9789,76.3204,75.9789,73.6202
0.0,69.3177,0.0,18.6232,75.9789,72.9789,75.1683,75.9789,60.7309
0.0,70.6859,0.0,18.8304,75.9789,72.9789,76.8425,75.9789,75.3663
0.0,69.2277,0.0,18.9117,75.9789,72.9789,74.5203,75.9789,69.9478
0.0,70.5959,0.0,18.9328,75.9789,72.9789,75.8884,75.9789,59.0027
0.0,69.1377,0.0,18.65,75.9789,72.9789,74.8803,75.9789,72.162
0.0,70.6859,0.0,18.65,75.9789,72.9789,75.7624,75.9789,60.7309
0.0,70.6859,0.0,18.5842,75.9789,72.9789,75.7624,75.9789,73.9982
0.0,69.2277,0.0,18.445,75.9789,72.9789,74.3222,75.9789,63.5572
0.0,71.694,0.0,18.4538,75.9789,72.9789,76.7165,75.9789,71.874
0.0,70.0558,0.0,18.5593,75.9789,72.9789,75.1143,75.9789,73.1701
0.0,70.0558,0.0,18.7703,75.9789,72.9789,75.1143,75.9789,63.2871
0.0,70.0558,0.0,18.9286,75.9789,72.9789,75.9244,75.9789,75.0963
0.0,70.0558,0.0,19.0341,75.9789,72.9789,74.9163,75.9789,64.3852
0.0,71.4239,0.0,19.3502,75.9789,72.9789,76.1224,75.9789,76.1944
0.0,69.8578,0.0,19.5058,75.9789,72.9789,74.6463,75.9789,63.3771
0.0,71.604,0.0,19.6103,75.9789,72.9789,76.6085,75.9789,74.1782
0.0,69.6778,0.0,19.7596,75.9789,72.9789,74.8443,75.9789,70.3258
0.0,71.3339,0.0,19.9761,75.9789,72.9789,76.6085,75.9789,68.0396
0.0,69.6778,0.0,19.9666,75.9789,72.9789,74.5563,75.9789,73.6202
0.0,71.514,0.0,20.0806,75.9789,72.9789,76.8785,75.9789,76.2844
0.0,69.4978,0.0,20.4464,75.9789,72.9789,74.8803,75.9789,69.5878
0.0,69.4978,0.0,20.3654,75.9789,72.9789,74.8803,75.9789,62.6571
0.0,70.6859,0.0,20.3481,75.9789,72.9789,76.2484,75.9789,75.4563
0.0,69.1377,0.0,20.4496,75.9789,72.9789,74.4482,75.9789,63.4671
0.0,70.8659,0.0,20.4496,75.9789,72.9789,76.3924,75.9789,63.4671
0.0,70.8659,0.0,20.5512,75.9789,72.9789,76.3924,75.9789,75.0063
0.0,69.1377,0.0,20.6527,75.9789,72.9789,73.9262,75.9789,64.2052
0.0,70.9559,0.0,20.673,75.9789,72.9789,75.6004,75.9789,75.8344
0.0,70.1458,0.0,20.4293,75.9789,72.9789,75.6004,75.9789,64.1152
0.0,70.1458,0.0,20.3654,75.9789,72.9789,75.6004,75.9789,74.8983
0.0,71.604,0.0,20.1946,75.9789,72.9789,75.6004,75.9789,75.7264
0.0,71.604,0.0,19.9891,75.9789,72.9789,75.6004,75.9789,76.5545
0.0,71.604,0.0,19.7202,75.9789,72.9789,75.6004,75.9789,72.432
0.0,70.6859,0.0,19.4465,75.9789,72.9789,74.8443,75.9789,74.8083
0.0,70.6859,0.0,18.9423,75.9789,72.9789,74.8443,75.9789,74.8083
0.0,70.6859,0.0,18.8319,75.9789,72.9789,74.8443,75.9789,74.8083
0.0,70.6859,0.0,18.6662,75.9789,72.9789,73.9622,75.9789,73.8002
0.0,69.9478,0.0,18.65,75.9789,72.9789,73.9622,75.9789,73.8002
0.0,69.9478,0.0,18.5195,75.9789,72.9789,73.9622,75.9789,73.8002
0.0,69.9478,0.0,18.4417,75.9789,72.9789,73.0441,75.9789,73.8002
0.0,69.1377,0.0,18.2149,75.9789,72.9789,73.0441,75.9789,72.8821
0.0,69.1377,0.0,18.2772,75.9789,72.9789,73.0441,75.9789,72.8821
0.0,69.1377,0.0,18.1041,75.9789,72.9789,73.0441,75.9789,72.8821
0.0,68.3996,0.0,17.9888,75.9789,72.9789,72.288,75.9789,72.8821
0.0,68.3996,0.0,17.7004,75.9789,72.9789,72.288,75.9789,72.8821
0.0,68.3996,0.0,17.5506,75.9789,72.9789,72.288,75.9789,72.8821
2.155,68.3996,0.0,17.3179,75.9789,72.9789,72.288,75.9789,72.8821
2.155,68.3996,0.0,17.1433,75.9789,72.9789,72.288,75.9789,72.072
2.155,68.3996,0.0,16.8688,75.9789,72.9789,72.288,75.9789,72.072
41.3,68.3996,0.0,16.8842,75.9789,72.9789,71.4599,75.9789,72.072
68.775,68.3996,0.0,16.5292,75.9789,72.9789,72.252,75.9789,72.072
68.775,68.3996,0.0,16.6003,75.9789,72.9789,72.252,75.9789,72.072
50.45,68.3996,0.0,16.481,75.9789,72.9789,72.252,75.9789,72.072
50.45,68.3996,0.0,16.3021,75.9789,72.2394,72.252,75.9789,72.072
50.45,68.3996,0.0,16.0098,75.9789,72.2394,72.252,75.9789,72.072
56.745,67.5716,0.0,16.0098,75.9789,72.2394,72.252,75.9789,71.3339
71.06,68.3996,0.0,15.8935,75.9789,72.2394,72.252,75.9789,72.252
50.55,68.3996,0.0,15.7722,75.9789,72.2394,72.252,75.9789,72.252
50.55,68.3996,0.0,15.7132,75.9789,72.2394,72.252,75.9789,72.252
66.675,68.3996,0.0,15.5909,75.9789,72.2394,72.252,75.9789,71.514
68.4,68.3996,0.0,15.5905,75.9789,72.2394,72.252,75.9789,71.514
68.4,68.3996,0.0,15.5905,75.9789,72.2394,72.252,75.9789,71.514
